SNL_5MW_D_Tapered_Tower,,,,# Shear webs ->,0,# of stacks ->,2,Stack ID ->,1,2,Segment ID ->,1,10,DP Types,1,2,1,2
,,,,,,# of segments ->,2,Material ID ->,8,2,,,,,,,first entry in the CSV list is the exterior blade surface stack,
Sta.#,Blade span (m),Airfoil Shape File,TE Type,Twist (deg),Chord,xoffset,aero center,Section Label,Uni,Skin,-blank-,HP,LP,,,,HP,LP
1,0,circular,round,0,1.00E+01,0.5,0.25,,40,6,-1,0,1,,,,"2,1,2","2,1,2"
2,6.607421057,circular,round,0,1.00E+01,0.5,0.25,,40,6,-1,0,1,,,,"2,1,2","2,1,2"
3,13.21484211,circular,round,0,1.00E+01,0.5,0.25,,40,6,-1,0,1,,,,"2,1,2","2,1,2"
4,19.82226317,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
5,26.42968423,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
6,33.03710529,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
7,39.64452634,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
8,46.2519474,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
9,52.85936846,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
10,59.46678951,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
11,66.07421057,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
12,72.68163163,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
13,79.28905268,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
14,85.89647374,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
15,92.5038948,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
16,99.11131586,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
17,105.7187369,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
18,112.326158,circular,round,0,1.00E+01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
19,118.933579,circular,round,0,2.50E-01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
20,125.5410001,circular,round,0,2.50E-01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
21,132.1484211,circular,round,0,2.50E-01,0.5,0.25,,30.303,3.03,-1,0,1,,,,"2,1,2","2,1,2"
